0.153959, -0.404613, -0.327217, 1.036803
-0.477495, -0.787530, -1.109586, 0.703123
-0.907100, 0.341175, -0.428287, 1.140612
-1.040081, 1.172036, -1.121149, 1.110202
0.592195, 1.227338, -1.241403, 0.644219
-0.669651, -1.262154, 0.011954, 2.112776
0.351475, 1.644511, -0.278856, 1.732358
0.520796, 0.935916, 1.662467, 1.259488
1.224778, 0.145844, -1.283666, 1.788604
0.109350, 0.306058, -1.323083, 2.510196
0.447094, -0.456982, 0.825777, 0.921329
0.451353, -1.480331, -1.023461, 2.057821
0.146234, 0.553976, 0.442429, 2.124579
1.447559, -0.619590, 0.375838, 1.467958
-0.842528, 1.508802, -0.072068, 0.620707
-1.706125, -0.114550, -0.994554, 1.748057
-0.929467, -0.449093, 1.652435, 2.124411
-1.543915, -0.798592, 0.725070, 1.796580
1.113813, 0.619713, -0.103814, 2.510482
0.456675, -1.483087, 0.168065, 2.143700
-0.604559, 0.683680, 1.690639, 0.631666
-1.581085, 0.767876, 0.731969, 1.774271
1.353692, -0.073705, 1.371047, 1.972641
-0.050989, 1.599839, 0.833019, 0.935395
